YOLOv8s — VisDrone Evaluation Report
==================================================

Precision (mean) : 0.4802
Recall (mean)    : 0.3837
mAP@0.50         : 0.3656
mAP@0.50:0.95    : 0.2119
FPS              : 53.6
ms/image         : 18.7

Per-Class AP
  Class                  AP@50   AP@50-95
---------------------------------------------
  pedestrian             0.4037   0.1749
  people                 0.2905   0.0994
  bicycle                0.1057   0.0419
  car                    0.7750   0.5273
  van                    0.4206   0.2902
  truck                  0.3523   0.2357
  tricycle               0.2364   0.1309
  awning-tricycle        0.1282   0.0823
  bus                    0.5206   0.3629
  motor                  0.4225   0.1739
